side,side,eta,phi,sector,TwinMux,TwinMux_link,TwinMux_bit,ring,BLANK
1,1,3,10,2,YB0_S2,6,2,0,BLANK
-1,-1,4,10,2,YB0_S2,7,35,0,BLANK
1,1,4,10,2,YB0_S2,7,30,0,BLANK
-1,-1,5,10,2,YB-1_S2,6,8,-1,BLANK
1,1,5,10,2,YB+1_S2,6,8,1,BLANK
-1,-1,6,10,2,YB-1_S2,6,5,-1,BLANK
1,1,6,10,2,YB+1_S2,6,5,1,BLANK
-1,-1,7,10,2,YB-1_S2,6,2,-1,BLANK
1,1,7,10,2,YB+1_S2,6,2,1,BLANK
-1,-1,8,10,2,YB-1_S2,7,37,-1,BLANK
1,1,8,10,2,YB+1_S2,7,37,1,BLANK
-1,-1,9,10,2,YB-1_S2,7,34,-1,BLANK
1,1,9,10,2,YB+1_S2,7,34,1,BLANK
-1,-1,10,10,2,YB-1_S2,7,31,-1,BLANK
1,1,10,10,2,YB+1_S2,7,31,1,BLANK
-1,-1,11,10,2,YB-2_S2,6,14,-2,BLANK
1,1,11,10,2,YB+2_S2,6,14,2,BLANK
-1,-1,12,10,2,YB-2_S2,6,11,-2,BLANK
1,1,12,10,2,YB+2_S2,6,11,2,BLANK
-1,-1,13,10,2,YB-2_S2,6,8,-2,BLANK
1,1,13,10,2,YB+2_S2,6,8,2,BLANK
-1,-1,14,10,2,YB-2_S2,6,5,-2,BLANK
1,1,14,10,2,YB+2_S2,6,5,2,BLANK
-1,-1,15,10,2,YB-2_S2,6,2,-2,BLANK
1,1,15,10,2,YB+2_S2,6,2,2,BLANK
-1,-1,1,11,3,YB0_S3,7,51,0,BLANK
1,1,1,11,3,YB0_S3,6,22,0,BLANK
-1,-1,2,11,3,YB0_S3,6,23,0,BLANK
1,1,2,11,3,YB0_S3,6,17,0,BLANK
-1,-1,3,11,3,YB0_S3,7,52,0,BLANK
1,1,3,11,3,YB0_S3,6,16,0,BLANK
-1,-1,4,11,3,YB0_S3,7,50,0,BLANK
1,1,4,11,3,YB0_S3,7,33,0,BLANK
-1,-1,5,11,3,YB-1_S3,6,17,-1,BLANK
1,1,5,11,3,YB+1_S3,6,17,1,BLANK
-1,-1,6,11,3,YB-1_S3,6,14,-1,BLANK
1,1,6,11,3,YB+1_S3,6,14,1,BLANK
-1,-1,7,11,3,YB-1_S3,6,11,-1,BLANK
1,1,7,11,3,YB+1_S3,6,11,1,BLANK
-1,-1,8,11,3,YB-1_S3,7,46,-1,BLANK
1,1,8,11,3,YB+1_S3,7,46,1,BLANK
-1,-1,9,11,3,YB-1_S3,7,43,-1,BLANK
1,1,9,11,3,YB+1_S3,7,43,1,BLANK
-1,-1,10,11,3,YB-1_S3,7,40,-1,BLANK
1,1,10,11,3,YB+1_S3,7,40,1,BLANK
-1,-1,11,11,3,YB-2_S3,7,43,-2,BLANK
1,1,11,11,3,YB+2_S3,7,43,2,BLANK
-1,-1,12,11,3,YB-2_S3,7,40,-2,BLANK
1,1,12,11,3,YB+2_S3,7,40,2,BLANK
-1,-1,13,11,3,YB-2_S3,7,37,-2,BLANK
1,1,13,11,3,YB+2_S3,7,37,2,BLANK
-1,-1,14,11,3,YB-2_S3,7,34,-2,BLANK
1,1,14,11,3,YB+2_S3,7,34,2,BLANK
-1,-1,15,11,3,YB-2_S3,7,31,-2,BLANK
1,1,15,11,3,YB+2_S3,7,31,2,BLANK
-1,-1,1,12,3,YB0_S3,7,48,0,BLANK
1,1,1,12,3,YB0_S3,6,19,0,BLANK
-1,-1,2,12,3,YB0_S3,6,20,0,BLANK
1,1,2,12,3,YB0_S3,6,21,0,BLANK
-1,-1,3,12,3,YB0_S3,7,49,0,BLANK
1,1,3,12,3,YB0_S3,6,18,0,BLANK
-1,-1,4,12,3,YB0_S3,7,47,0,BLANK
1,1,4,12,3,YB0_S3,7,34,0,BLANK
-1,-1,5,12,3,YB-1_S3,6,16,-1,BLANK
1,1,5,12,3,YB+1_S3,6,16,1,BLANK
-1,-1,6,12,3,YB-1_S3,6,13,-1,BLANK
1,1,6,12,3,YB+1_S3,6,13,1,BLANK
-1,-1,7,12,3,YB-1_S3,6,10,-1,BLANK
1,1,7,12,3,YB+1_S3,6,10,1,BLANK
-1,-1,8,12,3,YB-1_S3,7,45,-1,BLANK
1,1,8,12,3,YB+1_S3,7,45,1,BLANK
-1,-1,9,12,3,YB-1_S3,7,42,-1,BLANK
1,1,9,12,3,YB+1_S3,7,42,1,BLANK
-1,-1,10,12,3,YB-1_S3,7,39,-1,BLANK
1,1,10,12,3,YB+1_S3,7,39,1,BLANK
-1,-1,11,12,3,YB-2_S3,7,42,-2,BLANK
1,1,11,12,3,YB+2_S3,7,42,2,BLANK
-1,-1,12,12,3,YB-2_S3,7,39,-2,BLANK
1,1,12,12,3,YB+2_S3,7,39,2,BLANK
-1,-1,13,12,3,YB-2_S3,7,36,-2,BLANK
1,1,13,12,3,YB+2_S3,7,36,2,BLANK
-1,-1,14,12,3,YB-2_S3,7,33,-2,BLANK
1,1,14,12,3,YB+2_S3,7,33,2,BLANK
-1,-1,15,12,3,YB-2_S3,7,30,-2,BLANK
1,1,15,12,3,YB+2_S3,7,30,2,BLANK
-1,-1,1,13,3,YB0_S3,7,45,0,BLANK
1,1,1,13,3,YB0_S3,6,14,0,BLANK
-1,-1,2,13,3,YB0_S3,6,15,0,BLANK
1,1,2,13,3,YB0_S3,6,9,0,BLANK
-1,-1,3,13,3,YB0_S3,7,46,0,BLANK
1,1,3,13,3,YB0_S3,6,8,0,BLANK
-1,-1,4,13,3,YB0_S3,7,44,0,BLANK
1,1,4,13,3,YB0_S3,7,31,0,BLANK
-1,-1,5,13,3,YB-1_S3,6,15,-1,BLANK
1,1,5,13,3,YB+1_S3,6,15,1,BLANK
-1,-1,6,13,3,YB-1_S3,6,12,-1,BLANK
1,1,6,13,3,YB+1_S3,6,12,1,BLANK
-1,-1,7,13,3,YB-1_S3,6,9,-1,BLANK
1,1,7,13,3,YB+1_S3,6,9,1,BLANK
-1,-1,8,13,3,YB-1_S3,7,44,-1,BLANK
1,1,8,13,3,YB+1_S3,7,44,1,BLANK
-1,-1,9,13,3,YB-1_S3,7,41,-1,BLANK
1,1,9,13,3,YB+1_S3,7,41,1,BLANK
-1,-1,10,13,3,YB-1_S3,7,38,-1,BLANK
1,1,10,13,3,YB+1_S3,7,38,1,BLANK
-1,-1,11,13,3,YB-2_S3,7,41,-2,BLANK
1,1,11,13,3,YB+2_S3,7,41,2,BLANK
-1,-1,12,13,3,YB-2_S3,7,38,-2,BLANK
1,1,12,13,3,YB+2_S3,7,38,2,BLANK
-1,-1,13,13,3,YB-2_S3,7,35,-2,BLANK
1,1,13,13,3,YB+2_S3,7,35,2,BLANK
-1,-1,14,13,3,YB-2_S3,7,32,-2,BLANK
1,1,14,13,3,YB+2_S3,7,32,2,BLANK
-1,-1,15,13,3,YB-2_S3,7,29,-2,BLANK
1,1,15,13,3,YB+2_S3,7,29,2,BLANK
-1,-1,1,14,3,YB0_S3,7,42,0,BLANK
1,1,1,14,3,YB0_S3,6,12,0,BLANK
