sides,ring,sector,bigphi,phi,eta,LUT,bit
-1,-1,1,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-1,2,5,0,10,0x001,38
-1,-1,2,5,0,9,0x003,41
-1,-1,2,5,0,8,0x006,44
-1,-1,2,5,0,7,0x00C,9
-1,-1,2,5,0,6,0x030,12
-1,-1,2,5,0,5,0x060,15
-1,-1,2,-,-,-,-,-1
-1,-1,2,-,-,-,-,-1
-1,-1,2,6,1,10,0x101,39
-1,-1,2,6,1,9,0x103,42
-1,-1,2,6,1,8,0x106,45
-1,-1,2,6,1,7,0x10C,10
-1,-1,2,6,1,6,0x130,13
-1,-1,2,6,1,5,0x160,16
-1,-1,2,-,-,-,-,-1
-1,-1,2,-,-,-,-,-1
-1,-1,2,7,2,10,0x201,40
-1,-1,2,7,2,9,0x203,43
-1,-1,2,7,2,8,0x206,46
-1,-1,2,7,2,7,0x20C,11
-1,-1,2,7,2,6,0x230,14
-1,-1,2,7,2,5,0x260,17
-1,-1,2,-,-,-,-,-1
-1,-1,2,-,-,-,-,-1
-1,-1,2,8,3,10,0x301,29
-1,-1,2,8,3,9,0x303,32
-1,-1,2,8,3,8,0x306,35
-1,-1,2,8,3,7,0x30C,0
-1,-1,2,8,3,6,0x330,3
-1,-1,2,8,3,5,0x360,6
-1,-1,2,-,-,-,-,-1
-1,-1,2,-,-,-,-,-1
-1,-1,2,9,4,10,0x401,30
-1,-1,2,9,4,9,0x403,33
-1,-1,2,9,4,8,0x406,36
-1,-1,2,9,4,7,0x40C,1
-1,-1,2,9,4,6,0x430,4
-1,-1,2,9,4,5,0x460,7
-1,-1,2,-,-,-,-,-1
-1,-1,2,-,-,-,-,-1
-1,-1,2,10,5,10,0x501,31
-1,-1,2,10,5,9,0x503,34
-1,-1,2,10,5,8,0x506,37
-1,-1,2,10,5,7,0x50C,2
-1,-1,2,10,5,6,0x530,5
-1,-1,2,10,5,5,0x560,8
-1,-1,2,-,-,-,-,-1
-1,-1,2,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-1,3,11,0,10,0x001,40
-1,-1,3,11,0,9,0x003,43
-1,-1,3,11,0,8,0x006,46
-1,-1,3,11,0,7,0x00C,11
-1,-1,3,11,0,6,0x030,14
-1,-1,3,11,0,5,0x060,17
-1,-1,3,-,-,-,-,-1
-1,-1,3,-,-,-,-,-1
-1,-1,3,12,1,10,0x101,39
-1,-1,3,12,1,9,0x103,42
-1,-1,3,12,1,8,0x106,45
-1,-1,3,12,1,7,0x10C,10
-1,-1,3,12,1,6,0x130,13
-1,-1,3,12,1,5,0x160,16
-1,-1,3,-,-,-,-,-1
-1,-1,3,-,-,-,-,-1
-1,-1,3,13,2,10,0x201,38
-1,-1,3,13,2,9,0x203,41
-1,-1,3,13,2,8,0x206,44
-1,-1,3,13,2,7,0x20C,9
